Hour,107 August CF,107 Jan CF,110 August CF,110 Jan CF,112 August CF,112 Jan CF,117 August CF,117 Jan CF,21 August CF,21 Jan CF,213 August CF,213 Jan CF,214 August CF,214 Jan CF,38 August CF,38 Jan CF,92 August CF,92 Jan CF,94 August CF,94 Jan CF
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.06916129032258066,0.0,0.06900000000000002,0.0,0.06912903225806452,0.0,0.06980645161290325,0.0,0.06974193548387098,0.0,0.06948387096774196,0.0,0.06958064516129034,0.0,0.06896774193548387,0.0,0.06890322580645161,0.0,0.06909677419354839,0.0
6,0.32061290322580643,0.04070967741935484,0.3212258064516128,0.040322580645161296,0.3197419354838709,0.04058064516129033,0.32467741935483874,0.04074193548387097,0.3235806451612902,0.041,0.3229354838709676,0.04041935483870968,0.3239677419354838,0.04054838709677419,0.32061290322580643,0.04038709677419355,0.3197419354838709,0.04025806451612903,0.32016129032258067,0.04080645161290322
7,0.5054838709677419,0.32719354838709674,0.5063870967741935,0.3267419354838709,0.5049032258064517,0.32609677419354827,0.5096774193548387,0.32874193548387093,0.5083225806451614,0.32851612903225796,0.5080322580645161,0.32754838709677414,0.5090645161290323,0.3281290322580645,0.5058387096774193,0.32661290322580644,0.5053548387096775,0.3255806451612903,0.5050967741935483,0.32674193548387104
8,0.6013548387096775,0.5302580645161289,0.602,0.5302258064516129,0.6010645161290322,0.5293225806451614,0.6042903225806451,0.5331612903225807,0.6032258064516128,0.5324838709677419,0.6030000000000002,0.5314838709677419,0.6038064516129034,0.5323548387096776,0.6015806451612905,0.530032258064516,0.6013548387096774,0.5290967741935484,0.601,0.5297741935483872
9,0.6554516129032256,0.6443225806451612,0.6559677419354839,0.6449999999999999,0.6556774193548388,0.643516129032258,0.6569999999999998,0.645225806451613,0.6564516129032257,0.6445483870967741,0.6564193548387097,0.6449032258064517,0.656774193548387,0.6451290322580646,0.6558709677419357,0.6444193548387097,0.6558709677419359,0.6436451612903228,0.6554516129032258,0.6437419354838709
